Code,Claim (short version),Long claim (w/o hidden premise),Fallacy 1,Fallacy 2,Fallacy 3,Fallacy 4,General argument structure,Hidden premise,Denial technique
1.1.1.,Antarctica isn't melting,Antarctic sea ice is increasing. Therefore global warming is not happening.,Cherry picking,Slothful induction,Impossible expectations,Single cause,"P1: Antarctica is cooling.
P2: Sea ice is increasing.
C: Global warming is not happening",P3: Cooling is the only driver of sea ice gain therefore global warming is not happening,"P1: Cherry picking
P2: Slothful induction
P3: Impossible expectations
P3: Single cause"
1.1.2.,Greenland isn't melting.,Parts of Greenland's ice sheet are not melting. Therefore global warming is not happening.,Cherry picking,Single cause,Impossible expectations,,"P1: Parts of Greenland's ice sheet are not melting.
C: Global warming is not happening.",P2: All parts of ice sheets must be melting under global warming.,"P1: Cherry picking
P2: Single cause
P2: Impossible expectations"
1.1.3.,Arctic isn’t melting,"In the short term, Arctic sea ice hasn't changed much. Therefore Arctic sea ice is fine.",Cherry picking,,,,"P1: In the short term, Arctic sea ice hasn't changed much.
C: Arctic sea ice is fine.","P2: If Arctic sea ice maximum extent hasn't changed much in the short-term, then Arctic sea ice is fine in the long-term.",P2: Cherry picking
1.1.4.,Glaciers aren’t melting,Glaciers are growing in some regions. Therefore glaciers are fine.,Cherry picking,Oversimplification,,,"P1: Glaciers are growing in some regions
C: Glaciers are fine.","P2: If glaciers are growing anywhere in the world, then glaciers must be fine.","P2: Cherry picking
P2: Oversimplification"
1.2,Heading into an ice age,"Current climate change is driven by natural factors and natural factors are currently having a cooling effect.
If natural cooling continues, we will experience more cooling in the future.",Cherry picking,Slothful induction,Misrepresentation,,"P1: Current climate change is driven by natural factors.
P2: Natural factors are currently having a cooling effect.
C: If natural cooling continues, we will experience more cooling in the future.",P3: Greenhouse gasses don't have much of a warming effect.,"P1: Cherry picking
P1: Slothful induction
P3: Misrepresentation"
1.3,Weather is cold,Cold weather events are occuring. Therefore global warming is not happening.,Anecdote,Impossible expectations,,,"P1: Cold weather events are occuring.
C: Global warming is not happening.","P2: If global warming was happening, we wouldn't experience cold events.","P1: Anecdote
P2: Impossible expectations"
1.4,Hiatus on warming,There's been no warming over a short period. Therefore global warming is not happening.,Cherry picking,Slothful induction,Misrepresentation,Cherry picking,"P1: There's been no warming over a short period.
C: Global warming is not happening.",P2: Short time periods are sufficient to make conclusions about climate trends.,"P1: Cherry picking
P1: Slothful induction
P2: Misrepresentation
P2: Cherry picking"
1.6,Sea level rise is exaggerated,Sea levels within a specific time period or region have not shown dramatic increase. Therefore sea level rise is exaggerated.,Cherry picking,Slothful induction,Oversimplification,,"P1: Sea levels within a specific time period or region have not shown dramatic increase.
C: Sea level rise is exaggerated.","P2: Results from a narrow set of sea level rise data can be generalized more broadly.
P3: Regional factors like subsidence are not a factor in sea level measurements.","P1: Cherry picking
P2: Slothful induction
P3: Oversimplification"
1.7,Extremes aren't increasing,Extreme weather happened in the past before recent global warming. Therefore global warming is not linked to extreme weather.,Single cause,Cherry picking,,,"P1: Extreme weather happened in the past before recent global warming.
C: Global warming is not linked to extreme weather.","P2: If global warming didn't affect past extreme weather, they mustn't be affecting current extreme weather either.
P3: The frequency or intensity of extreme weather isn't getting worse.","P2: Single cause
P3: Cherry picking"
2.1.1.,It's the sun,There is a link between solar activity and climate. Therefore recent climate change is caused by the sun.,Slothful induction,Single cause,,,"P1: There is a link between solar activity and climate.
C: Recent climate change is caused by the sun.","P2: If the sun can affect climate, it must be affecting current climate change.","P1: Slothful induction
P2: Single cause"
